x,z_upper,z_lower,delta
3.581939799331103291e+00,4.407722841003938186e-01,-2.897835337324528027e-01,7.631554301585365130e-02
3.605351170568561692e+00,4.386871580466983334e-01,-2.887429656781740350e-01,7.674288196960836472e-02
3.628762541806019648e+00,4.366020319930029037e-01,-2.877023976238953229e-01,7.716982468586712496e-02
3.652173913043478048e+00,4.345169059393074185e-01,-2.866618295696165553e-01,7.759637408489145072e-02
3.675585284280936005e+00,4.324317798856119333e-01,-2.856029757117637402e-01,7.802253304684689250e-02
3.698996655518394405e+00,4.302988092779959084e-01,-2.844846609023219397e-01,7.844830441260536302e-02
3.722408026755852362e+00,4.281366080736436208e-01,-2.833663460928801392e-01,7.887369098452645666e-02
3.745819397993310762e+00,4.259744068692912222e-01,-2.822480312834382832e-01,7.929869552721835468e-02
3.769230769230769162e+00,4.238122056649388791e-01,-2.811297164739964827e-01,7.972332076827903791e-02
3.792642140468227119e+00,4.216500044605865916e-01,-2.799908072962321581e-01,8.014756939901841737e-02
3.816053511705685519e+00,4.194375540281329862e-01,-2.787948420608309941e-01,8.057144407516220186e-02
